Definiere: Marke	"Ein Zeichen, das geeignet ist, Waren oder Dienstleistungen eines Unternehmens von denjenigen anderer Unternehmen zu unterscheiden (<a href=""https://www.gesetze-im-internet.de/markeng/__3.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 3 Abs. 1 MarkenG</a>). Schutz entsteht durch Eintragung, Verkehrsgeltung oder notorische Bekanntheit (<a href=""https://www.gesetze-im-internet.de/markeng/__4.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 4 MarkenG</a>).<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 1 MarkenRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__1.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 1 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__3.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 3 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__4.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 4 MarkenG</a>"	Begriff Grundlagen
"Definiere: Üblich gewordene Bezeichnungen (<a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 2 Nr. 3</a>)"	"Ausgeschlossen sind Zeichen, die im allgemeinen Sprachgebrauch oder in den redlichen und ständigen Verkehrsgepflogenheiten zur Bezeichnung der Waren oder Dienstleistungen üblich geworden sind (Gattungsbezeichnungen, Freizeichen).<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 4 MarkenRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 12 MarkenRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 20 MarkenRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 2 Nr. 3 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__49.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 49 Abs. 2 Nr. 1 MarkenG</a><br><br>Rechtsprechung: BGH TÜV II (I ZR 108/09)"	Begriff Schutzvoraussetzungen
Welcher Begriff wird so definiert?<br><br>Ausgeschlossen sind Zeichen, die im allgemeinen Sprachgebrauch oder in den redlichen und ständigen Verkehrsgepflogenheiten zur Bezeichnung der Waren oder Dienstleistungen üblich geworden sind (Gattungsbezeichnungen, Freizeichen).	"Üblich gewordene Bezeichnungen (<a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 2 Nr. 3</a>)"	Begriff Umkehr Schutzvoraussetzungen
"Definiere: Täuschungseignung (<a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 2 Nr. 4</a>)"	"Ausgeschlossen sind Zeichen, die geeignet sind, das Publikum insbesondere über die Art, die Beschaffenheit oder die geographische Herkunft der Waren oder Dienstleistungen zu täuschen.<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 4 MarkenRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 20 MarkenRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 2 Nr. 4 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__37.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 37 Abs. 3 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__49.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 49 Abs. 2 Nr. 2 MarkenG</a>"	Begriff Schutzvoraussetzungen
Welcher Begriff wird so definiert?<br><br>Ausgeschlossen sind Zeichen, die geeignet sind, das Publikum insbesondere über die Art, die Beschaffenheit oder die geographische Herkunft der Waren oder Dienstleistungen zu täuschen.	"Täuschungseignung (<a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 2 Nr. 4</a>)"	Begriff Umkehr Schutzvoraussetzungen
"Definiere: Bösgläubige Markenanmeldung (<a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 2 Nr. 14</a>)"	"Eine Anmeldung ist bösgläubig, wenn der Anmelder das Zeichen nicht zur Förderung des eigenen Absatzes, sondern rechtsmissbräuchlich oder sittenwidrig anmeldet, insbesondere um einen schutzwürdigen Besitzstand eines Vorbenutzers zu stören, Dritte zu behindern (Sperrmarke) oder Lizenzgebühren zu erpressen (Hinterhaltsmarke).<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 4 MarkenRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 2 Nr. 14 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__37.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 37 Abs. 3 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__50.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 50 MarkenG</a><br><br>Rechtsprechung: BGH GLÜCKSPILZ (I ZB 69/14); BGH EROS (I ZR 190/05); BGH Ivadal (I ZB 8/06); BPatG LIQUIDROM (30 W (pat) 32/12)"	Begriff Schutzvoraussetzungen
Welcher Begriff wird so definiert?<br><br>Eine Anmeldung ist bösgläubig, wenn der Anmelder das Zeichen nicht zur Förderung des eigenen Absatzes, sondern rechtsmissbräuchlich oder sittenwidrig anmeldet, insbesondere um einen schutzwürdigen Besitzstand eines Vorbenutzers zu stören, Dritte zu behindern (Sperrmarke) oder Lizenzgebühren zu erpressen (Hinterhaltsmarke).	"Bösgläubige Markenanmeldung (<a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 2 Nr. 14</a>)"	Begriff Umkehr Schutzvoraussetzungen
"Definiere: Verkehrsdurchsetzung (<a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 3</a>)"	"Die Schutzhindernisse des <a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 2 Nr. 1, 2 und 3</a> finden keine Anwendung, wenn die Marke sich vor dem Anmeldetag infolge ihrer Benutzung für die Waren oder Dienstleistungen in den beteiligten Verkehrskreisen durchgesetzt hat.<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 4 MarkenRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 3 MarkenG</a><br><br>Rechtsprechung: EuGH Windsurfing Chiemsee (C-108/97); BGH ROCHER-Kugel (I ZB 88/07); BGH test (Stiftung Warentest) (I ZB 65/12); BGH Langenscheidt-Gelb (I ZB 61/13)"	Begriff Schutzvoraussetzungen
"Welcher Begriff wird so definiert?<br><br>Die Schutzhindernisse des <a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 2 Nr. 1, 2 und 3</a> finden keine Anwendung, wenn die Marke sich vor dem Anmeldetag infolge ihrer Benutzung für die Waren oder Dienstleistungen in den beteiligten Verkehrskreisen durchgesetzt hat."	"Verkehrsdurchsetzung (<a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 3</a>)"	Begriff Umkehr Schutzvoraussetzungen
"Definiere: Verkehrsgeltung (<a href=""https://www.gesetze-im-internet.de/markeng/__4.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 4 Nr. 2</a>)"	"Markenschutz durch Benutzung entsteht, wenn ein Zeichen im geschäftlichen Verkehr benutzt wird und innerhalb der beteiligten Verkehrskreise als Marke Verkehrsgeltung erworben hat, d.h. ein nicht unerheblicher Teil der Verkehrskreise das Zeichen als Herkunftshinweis auf ein bestimmtes Unternehmen versteht.<br><br>Normen: <a href=""https://www.gesetze-im-internet.de/markeng/__4.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 4 Nr. 2 MarkenG</a>"	Begriff Grundlagen
Welcher Begriff wird so definiert?<br><br>Markenschutz durch Benutzung entsteht, wenn ein Zeichen im geschäftlichen Verkehr benutzt wird und innerhalb der beteiligten Verkehrskreise als Marke Verkehrsgeltung erworben hat, d.h. ein nicht unerheblicher Teil der Verkehrskreise das Zeichen als Herkunftshinweis auf ein bestimmtes Unternehmen versteht.	"Verkehrsgeltung (<a href=""https://www.gesetze-im-internet.de/markeng/__4.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 4 Nr. 2</a>)"	Begriff Umkehr Grundlagen
"Definiere: Notorische Bekanntheit (<a href=""https://www.gesetze-im-internet.de/markeng/__4.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 4 Nr. 3</a>)"	"Markenschutz entsteht auch ohne Eintragung oder Inlandsbenutzung, wenn die Marke im Inland i.S.d. Art. 6bis PVÜ notorisch, d.h. allgemein (auch außerhalb der Fachkreise) bekannt ist.<br><br>Normen: <a href=""https://www.gesetze-im-internet.de/markeng/__4.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 4 Nr. 3 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__10.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 10 MarkenG</a>"	Begriff Grundlagen
Welcher Begriff wird so definiert?<br><br>Markenschutz entsteht auch ohne Eintragung oder Inlandsbenutzung, wenn die Marke im Inland i.S.d. Art. 6bis PVÜ notorisch, d.h. allgemein (auch außerhalb der Fachkreise) bekannt ist.	"Notorische Bekanntheit (<a href=""https://www.gesetze-im-internet.de/markeng/__4.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 4 Nr. 3</a>)"	Begriff Umkehr Grundlagen
"Definiere: Relative Schutzhindernisse (§§ <a href=""https://www.gesetze-im-internet.de/markeng/__9.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">9</a>-<a href=""https://www.gesetze-im-internet.de/markeng/__13.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">13</a>)"	"Ältere Rechte Dritter, die der Eintragung entgegenstehen und nur auf Widerspruch (<a href=""https://www.gesetze-im-internet.de/markeng/__42.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 42</a>) oder Nichtigkeitsantrag/-klage (<a href=""https://www.gesetze-im-internet.de/markeng/__51.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 51</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__55.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 55</a>) geltend gemacht werden: ältere Marken (<a href=""https://www.gesetze-im-internet.de/markeng/__9.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 9</a>: Identität, Verwechslungsgefahr, Bekanntheitsschutz), notorisch bekannte Marken (<a href=""https://www.gesetze-im-internet.de/markeng/__10.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 10</a>), Agentenmarken (<a href=""https://www.gesetze-im-internet.de/markeng/__11.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 11</a>), Benutzungsmarken und geschäftliche Bezeichnungen (<a href=""https://www.gesetze-im-internet.de/markeng/__12.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 12</a>), sonstige ältere Rechte (<a href=""https://www.gesetze-im-internet.de/markeng/__13.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 13</a>: Name, Bildnis, Urheberrecht, Design usw.).<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 5 MarkenRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 43 MarkenRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__9.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 9 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__10.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 10 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__11.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 11 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__12.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 12 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__13.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 13 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__42.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 42 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__51.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 51 MarkenG</a><br><br>Rechtsprechung: BGH Springender Pudel (I ZR 59/13)"	Begriff Schutzvoraussetzungen
"Welcher Begriff wird so definiert?<br><br>Ältere Rechte Dritter, die der Eintragung entgegenstehen und nur auf Widerspruch (<a href=""https://www.gesetze-im-internet.de/markeng/__42.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 42</a>) oder Nichtigkeitsantrag/-klage (<a href=""https://www.gesetze-im-internet.de/markeng/__51.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 51</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__55.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 55</a>) geltend gemacht werden: ältere Marken (<a href=""https://www.gesetze-im-internet.de/markeng/__9.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 9</a>: Identität, Verwechslungsgefahr, Bekanntheitsschutz), notorisch bekannte Marken (<a href=""https://www.gesetze-im-internet.de/markeng/__10.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 10</a>), Agentenmarken (<a href=""https://www.gesetze-im-internet.de/markeng/__11.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 11</a>), Benutzungsmarken und geschäftliche Bezeichnungen (<a href=""https://www.gesetze-im-internet.de/markeng/__12.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 12</a>), sonstige ältere Rechte (<a href=""https://www.gesetze-im-internet.de/markeng/__13.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 13</a>: Name, Bildnis, Urheberrecht, Design usw.)."	"Relative Schutzhindernisse (§§ <a href=""https://www.gesetze-im-internet.de/markeng/__9.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">9</a>-<a href=""https://www.gesetze-im-internet.de/markeng/__13.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">13</a>)"	Begriff Umkehr Schutzvoraussetzungen
Definiere: Benutzung im geschäftlichen Verkehr	"Jede wirtschaftliche Tätigkeit, die auf die Erzielung eines wirtschaftlichen Vorteils gerichtet ist und nicht rein privat, wissenschaftlich, politisch oder hoheitlich ist. An das Merkmal sind keine hohen Anforderungen zu stellen.<br><br>Normen: <a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 2 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__15.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 15 Abs. 2 MarkenG</a><br><br>Rechtsprechung: EuGH Google France und Google (C-236/08 bis C-238/08)"	Begriff Verletzung
Welcher Begriff wird so definiert?<br><br>Jede wirtschaftliche Tätigkeit, die auf die Erzielung eines wirtschaftlichen Vorteils gerichtet ist und nicht rein privat, wissenschaftlich, politisch oder hoheitlich ist. An das Merkmal sind keine hohen Anforderungen zu stellen.	Benutzung im geschäftlichen Verkehr	Begriff Umkehr Verletzung
Definiere: Markenmäßige (rechtsverletzende) Benutzung	"Ungeschriebenes Tatbestandsmerkmal des <a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 2</a>: Das Zeichen muss so benutzt werden, dass es die Funktionen der Marke, insbesondere die Herkunftsfunktion, beeinträchtigt oder beeinträchtigen kann, d.h. der Verkehr es als Hinweis auf die betriebliche Herkunft der Waren/Dienstleistungen versteht.<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 10 MarkenRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 2 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 3 MarkenG</a><br><br>Rechtsprechung: EuGH Arsenal Football Club (C-206/01); BGH Opel-Blitz II (I ZR 88/08); EuGH Adam Opel/Autec (C-48/05); BGH SAM (I ZR 195/17)"	Begriff Verletzung
"Welcher Begriff wird so definiert?<br><br>Ungeschriebenes Tatbestandsmerkmal des <a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 2</a>: Das Zeichen muss so benutzt werden, dass es die Funktionen der Marke, insbesondere die Herkunftsfunktion, beeinträchtigt oder beeinträchtigen kann, d.h. der Verkehr es als Hinweis auf die betriebliche Herkunft der Waren/Dienstleistungen versteht."	Markenmäßige (rechtsverletzende) Benutzung	Begriff Umkehr Verletzung
Definiere: Firmenmäßiger Gebrauch	"Die Benutzung eines Zeichens ausschließlich als Unternehmensbezeichnung (Firma, Geschäftsbezeichnung) ist keine Benutzung 'für Waren oder Dienstleistungen' i.S.d. <a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 2</a>; sie wird zur markenmäßigen Benutzung, wenn der Verkehr eine Verbindung zwischen der Bezeichnung und den vertriebenen Waren herstellt.<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 10 MarkenRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 2 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 3 Nr. 5 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__15.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 15 MarkenG</a><br><br>Rechtsprechung: EuGH Céline (C-17/06)"	Begriff Verletzung
"Welcher Begriff wird so definiert?<br><br>Die Benutzung eines Zeichens ausschließlich als Unternehmensbezeichnung (Firma, Geschäftsbezeichnung) ist keine Benutzung 'für Waren oder Dienstleistungen' i.S.d. <a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 2</a>; sie wird zur markenmäßigen Benutzung, wenn der Verkehr eine Verbindung zwischen der Bezeichnung und den vertriebenen Waren herstellt."	Firmenmäßiger Gebrauch	Begriff Umkehr Verletzung
"Definiere: Doppelidentität / Identitätsschutz (<a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 2 Nr. 1</a>)"	"Verletzung durch Benutzung eines mit der Marke identischen Zeichens für Waren oder Dienstleistungen, die mit denen identisch sind, für die die Marke Schutz genießt. Eine Verwechslungsgefahr muss nicht festgestellt werden.<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 5 MarkenRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 10 MarkenRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 2 Nr. 1 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__9.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 9 Abs. 1 Nr. 1 MarkenG</a><br><br>Rechtsprechung: EuGH L'Oréal/Bellure (C-487/07); EuGH Arsenal Football Club (C-206/01); BGH SAM (I ZR 195/17); BGH Kühlergrill (I ZR 61/18)"	Begriff Verletzung
Welcher Begriff wird so definiert?<br><br>Verletzung durch Benutzung eines mit der Marke identischen Zeichens für Waren oder Dienstleistungen, die mit denen identisch sind, für die die Marke Schutz genießt. Eine Verwechslungsgefahr muss nicht festgestellt werden.	"Doppelidentität / Identitätsschutz (<a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 2 Nr. 1</a>)"	Begriff Umkehr Verletzung
"Definiere: Verwechslungsgefahr (<a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 2 Nr. 2</a>)"	"Die Gefahr, dass das Publikum glauben könnte, die betreffenden Waren oder Dienstleistungen stammten aus demselben Unternehmen oder aus wirtschaftlich miteinander verbundenen Unternehmen. Sie ist umfassend unter Berücksichtigung aller Umstände des Einzelfalls zu beurteilen, insbesondere der Wechselwirkung zwischen Waren-/Dienstleistungsähnlichkeit, Zeichenähnlichkeit und Kennzeichnungskraft der älteren Marke.<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 5 MarkenRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 10 MarkenRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 2 Nr. 2 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__9.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 9 Abs. 1 Nr. 2 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__15.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 15 Abs. 2 MarkenG</a><br><br>Rechtsprechung: EuGH SABEL/Puma (C-251/95); EuGH Canon (C-39/97); EuGH Lloyd Schuhfabrik Meyer (C-342/97); BGH Culinaria/Villa Culinaria (I ZR 85/11)"	Begriff Verletzung
